"","fractal_left","fractal_right","left_prob","right_prob","left_mag","right_mag","left_prob_value","right_prob_value","left_mag_value","right_mag_value","left_stim","right_stim","reward","resp_type"
"1","r2p1m1.png","r2p1m1.png","p1","p1","m1","m1",0.1,0.1,1,1,"stim/juice/r2p1m1.png","stim/juice/r2p1m1.png","juice","gaze"
"2","r2p1m1.png","r2p1m2.png","p1","p1","m1","m2",0.1,0.1,1,2,"stim/juice/r2p1m1.png","stim/juice/r2p1m2.png","juice","gaze"
"3","r2p1m1.png","r2p1m3.png","p1","p1","m1","m3",0.1,0.1,1,3,"stim/juice/r2p1m1.png","stim/juice/r2p1m3.png","juice","gaze"
"4","r2p1m1.png","r2p2m1.png","p1","p2","m1","m1",0.1,0.5,1,1,"stim/juice/r2p1m1.png","stim/juice/r2p2m1.png","juice","gaze"
"5","r2p1m1.png","r2p2m2.png","p1","p2","m1","m2",0.1,0.5,1,2,"stim/juice/r2p1m1.png","stim/juice/r2p2m2.png","juice","gaze"
"6","r2p1m1.png","r2p2m3.png","p1","p2","m1","m3",0.1,0.5,1,3,"stim/juice/r2p1m1.png","stim/juice/r2p2m3.png","juice","gaze"
"7","r2p1m1.png","r2p3m1.png","p1","p3","m1","m1",0.1,0.9,1,1,"stim/juice/r2p1m1.png","stim/juice/r2p3m1.png","juice","gaze"
"8","r2p1m1.png","r2p3m2.png","p1","p3","m1","m2",0.1,0.9,1,2,"stim/juice/r2p1m1.png","stim/juice/r2p3m2.png","juice","gaze"
"9","r2p1m1.png","r2p3m3.png","p1","p3","m1","m3",0.1,0.9,1,3,"stim/juice/r2p1m1.png","stim/juice/r2p3m3.png","juice","gaze"
"10","r2p1m2.png","r2p1m1.png","p1","p1","m2","m1",0.1,0.1,2,1,"stim/juice/r2p1m2.png","stim/juice/r2p1m1.png","juice","gaze"
"11","r2p1m2.png","r2p1m2.png","p1","p1","m2","m2",0.1,0.1,2,2,"stim/juice/r2p1m2.png","stim/juice/r2p1m2.png","juice","gaze"
"12","r2p1m2.png","r2p1m3.png","p1","p1","m2","m3",0.1,0.1,2,3,"stim/juice/r2p1m2.png","stim/juice/r2p1m3.png","juice","gaze"
"13","r2p1m2.png","r2p2m1.png","p1","p2","m2","m1",0.1,0.5,2,1,"stim/juice/r2p1m2.png","stim/juice/r2p2m1.png","juice","gaze"
"14","r2p1m2.png","r2p2m2.png","p1","p2","m2","m2",0.1,0.5,2,2,"stim/juice/r2p1m2.png","stim/juice/r2p2m2.png","juice","gaze"
"15","r2p1m2.png","r2p2m3.png","p1","p2","m2","m3",0.1,0.5,2,3,"stim/juice/r2p1m2.png","stim/juice/r2p2m3.png","juice","gaze"
"16","r2p1m2.png","r2p3m1.png","p1","p3","m2","m1",0.1,0.9,2,1,"stim/juice/r2p1m2.png","stim/juice/r2p3m1.png","juice","gaze"
"17","r2p1m2.png","r2p3m2.png","p1","p3","m2","m2",0.1,0.9,2,2,"stim/juice/r2p1m2.png","stim/juice/r2p3m2.png","juice","gaze"
"18","r2p1m2.png","r2p3m3.png","p1","p3","m2","m3",0.1,0.9,2,3,"stim/juice/r2p1m2.png","stim/juice/r2p3m3.png","juice","gaze"
"19","r2p1m3.png","r2p1m1.png","p1","p1","m3","m1",0.1,0.1,3,1,"stim/juice/r2p1m3.png","stim/juice/r2p1m1.png","juice","gaze"
"20","r2p1m3.png","r2p1m2.png","p1","p1","m3","m2",0.1,0.1,3,2,"stim/juice/r2p1m3.png","stim/juice/r2p1m2.png","juice","gaze"
"21","r2p1m3.png","r2p1m3.png","p1","p1","m3","m3",0.1,0.1,3,3,"stim/juice/r2p1m3.png","stim/juice/r2p1m3.png","juice","gaze"
"22","r2p1m3.png","r2p2m1.png","p1","p2","m3","m1",0.1,0.5,3,1,"stim/juice/r2p1m3.png","stim/juice/r2p2m1.png","juice","gaze"
"23","r2p1m3.png","r2p2m2.png","p1","p2","m3","m2",0.1,0.5,3,2,"stim/juice/r2p1m3.png","stim/juice/r2p2m2.png","juice","gaze"
"24","r2p1m3.png","r2p2m3.png","p1","p2","m3","m3",0.1,0.5,3,3,"stim/juice/r2p1m3.png","stim/juice/r2p2m3.png","juice","gaze"
"25","r2p1m3.png","r2p3m1.png","p1","p3","m3","m1",0.1,0.9,3,1,"stim/juice/r2p1m3.png","stim/juice/r2p3m1.png","juice","gaze"
"26","r2p1m3.png","r2p3m2.png","p1","p3","m3","m2",0.1,0.9,3,2,"stim/juice/r2p1m3.png","stim/juice/r2p3m2.png","juice","gaze"
"27","r2p1m3.png","r2p3m3.png","p1","p3","m3","m3",0.1,0.9,3,3,"stim/juice/r2p1m3.png","stim/juice/r2p3m3.png","juice","gaze"
"28","r2p2m1.png","r2p1m1.png","p2","p1","m1","m1",0.5,0.1,1,1,"stim/juice/r2p2m1.png","stim/juice/r2p1m1.png","juice","gaze"
"29","r2p2m1.png","r2p1m2.png","p2","p1","m1","m2",0.5,0.1,1,2,"stim/juice/r2p2m1.png","stim/juice/r2p1m2.png","juice","gaze"
